INHIBITION_OF_VOLTAGE_GATED_CD_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,NEURONAL_SYSTEM,POTASSIUM_CHANNELS,TRANSMISSION_ACROSS_CHEMICAL_AL_SYNAPSES,GPCR_DOWNSTREAM_SIGNALING,SLC_MEDIATED_TRANSMEMBRANE_TR_TRANSPORT,NEUROTRANSMITTER_RECEPTOR_BINBINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,RAS_ACTIVATION_UOPN_CA2_INFUXFUX_THROUGH_NMDA_RECEPTOR,SIGNALING_BY_GPCR
,GABRG3,KCNK7,GABRR2,CCR2,SLC22A1,GNG2,,CCL20
,GABRR1,KCNK9,GAD1,CCR3,SLC22A11,GNG3,,CCL21
,GABRR2,KCNMB1,GAD2,CCR4,SLC22A12,GNG4,,CCL22
,GAD1,KCNMB2,GLS,CCR5,SLC22A15,GNG5,,CCL25
,GAD2,KCNMB3,GLS2,CCR6,SLC22A16,GNG7,,CCL27
,GJA10,KCNMB4,GLUL,CCR7,SLC22A18,GNG8,,CCL28
,GJC1,KCNN1,GNAI1,CCR8,SLC22A2,GNGT1,,CCL3
,GJD2,KCNN2,GNAI2,CCR9,SLC22A3,GNGT2,,CCL3L1
,GLS,KCNN3,GNAI3,CDC42,SLC22A4,GRIA1,,CCL3L3
,GLS2,KCNN4,GNAL,CGA,SLC22A5,GRIA2,,CCL4
,GLUL,KCNQ1,GNB1,CHRM1,SLC22A6,GRIA3,,CCL5
,GNAI1,KCNQ2,GNB2,CHRM2,SLC22A7,GRIA4,,CCL7
,GNAI2,KCNQ3,GNB3,CHRM3,SLC22A8,GRIK1,,CCR1
,GNAI3,KCNQ4,GNB4,CHRM5,SLC24A1,GRIK2,,CCR10
,GNAL,KCNQ5,GNB5,CNR1,SLC24A2,GRIK3,,CCR2
,GNB1,KCNS1,GNG10,CNR2,SLC24A3,GRIK4,,CCR3
,GNB2,KCNS2,GNG11,CRH,SLC24A4,GRIK5,,CCR4
,GNB3,KCNS3,GNG12,CRHR2,SLC24A5,GRIN1,,CCR5
,GNB4,KCNV1,GNG13,CXCL1,SLC24A6,GRIN2A,,CCR6
,GNB5,KCNV2,GNG2,CXCL10,SLC25A10,GRIN2B,,CCR7
,GNG10,,GNG3,CXCL11,SLC26A1,GRIN2C,,CCR8
,GNG11,,GNG4,CXCL12,SLC26A2,GRIN2D,,CCR9
,GNG12,,GNG5,CXCL13,SLC26A3,GRIP2,,CCRL1
,GNG13,,GNG7,CXCL16,SLC26A4,HRAS,,CCRL1P1
,GNG2,,GNG8,CXCL2,SLC26A6,KCNJ10,,CD55
,GNG3,,GNGT1,CXCL3,SLC26A7,KCNJ12,,CD97
,GNG4,,GNGT2,CXCL5,SLC26A9,KCNJ15,,CDC42
,GNG5,,GRIA1,CXCL6,SLC27A1,KCNJ16,,CDK1
,GNG7,,GRIA2,CXCL9,SLC27A4,KCNJ2,,CDK5
,GNG8,,GRIA3,CXCR1,SLC27A6,KCNJ3,,CGA
,GNGT1,,GRIA4,CXCR2,SLC28A1,KCNJ4,,CHRM1
,GNGT2,,GRIK1,CXCR3,SLC28A2,KCNJ5,,CHRM2
,GRIA1,,GRIK2,CXCR4,SLC28A3,KCNJ6,,CHRM3
,GRIA2,,GRIK3,CXCR5,SLC29A1,KCNJ9,,CHRM5
,GRIA3,,GRIK4,CXCR6,SLC29A2,LOC651907,,CNR1
,GRIA4,,GRIK5,CXCR7,SLC29A3,LOC732445,,CNR2
,GRIK1,,GRIN1,CYSLTR1,SLC29A4,MAPK1,,CREB1
,GRIK2,,GRIN2A,CYSLTR2,SLC2A1,MDM2,,CRH
,GRIK3,,GRIN2B,DAGLA,SLC2A10,MYO6,,CRHR2
,GRIK4,,GRIN2C,DAGLB,SLC2A11,NCALD,,CX3CL1
,GRIK5,,GRIN2D,DGKA,SLC2A12,NEFL,,CX3CR1
,GRIN1,,GRIP2,DGKB,SLC2A13,NSF,,CXCL1
,GRIN2A,,HRAS,DGKD,SLC2A2,PDPK1,,CXCL10
,GRIN2B,,HSPA8,DGKE,SLC2A3,PICK1,,CXCL11
,GRIN2C,,KCNJ10,DGKG,SLC2A4,PLCB1,,CXCL12
,GRIN2D,,KCNJ12,DGKH,SLC2A5,PLCB2,,CXCL13
,GRIP2,,KCNJ15,DGKI,SLC2A6,PLCB3,,CXCL16
,HCN1,,KCNJ16,DGKK,SLC2A7,PRKACB,,CXCL2
,HCN2,,KCNJ2,DGKQ,SLC2A8,PRKCA,,CXCL3
,HCN3,,KCNJ3,DRD1,SLC2A9,PRKCB,,CXCL5
,HCN4,,KCNJ4,DRD2,SLC30A1,PRKCG,,CXCL6
,HRAS,,KCNJ5,DRD3,SLC30A2,RAF1,,CXCL9
,HSPA8,,KCNJ6,DRD5,SLC30A3,RASGRF1,,CXCR1
,KCNA1,,KCNJ9,ECT2,SLC30A5,RASGRF2,,CXCR2
,KCNA10,,LOC651907,EDN1,SLC30A7,RPS6KA1,,CXCR3
,KCNA2,,LOC732445,EDN2,SLC30A8,RPS6KA2,,CXCR4
,KCNA3,,MAOA,EDN3,SLC31A1,RPS6KA3,,CXCR5
,KCNA4,,MAPK1,EDNRA,SLC32A1,RPS6KA6,,CXCR6
,KCNA5,,MDM2,EDNRB,SLC33A1,RRAS,,CXCR7
,KCNA6,,MYO6,F2,SLC34A1,,,CYSLTR1
,KCNA7,,NCALD,F2R,SLC34A2,,,CYSLTR2
,KCNAB1,,NEFL,F2RL1,SLC34A3,,,DAGLA
